	2844
1986_SCI-FI	2
1986_SHORT	2
1986_WAR	1
1987_ADVENTURE	2
1987_ANIMATION	3
1987_BIOGRAPHY	2
1987_COMEDY	6
1987_CRIME	3
1987_DOCUMENTARY	5
1987_DRAMA	14
1987_FAMILY	5
1987_FANTASY	1
1987_MUSIC	3
1987_ROMANCE	3
1987_SHORT	3
1987_WAR	3
1988_	1
1988_ACTION	3
1988_ADVENTURE	1
1988_ANIMATION	6
1988_BIOGRAPHY	1
1988_COMEDY	4
1988_CRIME	3
1988_DOCUMENTARY	6
1988_DRAMA	8
1988_FAMILY	1
1988_FANTASY	1
1988_MUSIC	1
1988_MYSTERY	1
1988_ROMANCE	1
1988_SCI-FI	3
1988_SHORT	1
1988_THRILLER	1
1988_WAR	2
1989_ACTION	3
1989_ADVENTURE	3
1989_COMEDY	1
1989_CRIME	1
1989_DOCUMENTARY	5
1989_DRAMA	6
1989_FAMILY	1
1989_FANTASY	1
1989_HISTORY	2
1989_MUSIC	1
1989_SHORT	1
1989_THRILLER	2
1989_WESTERN	1
1990_ADVENTURE	1
1990_ANIMATION	2
1990_BIOGRAPHY	1
1990_COMEDY	1
1990_CRIME	1
1990_DOCUMENTARY	5
1990_DRAMA	3
1990_FAMILY	1
1990_FANTASY	1
1990_HISTORY	2
1990_MUSIC	1
1990_SCI-FI	1
1990_WAR	2
1991_ACTION	1
1991_BIOGRAPHY	1
1991_COMEDY	4
1991_CRIME	3
1991_DOCUMENTARY	3
1991_DRAMA	7
1991_FAMILY	1
1991_MUSIC	1
1991_MYSTERY	1
1991_ROMANCE	2
1991_SCI-FI	1
1991_THRILLER	1
1992_ACTION	1
1992_BIOGRAPHY	1
1992_COMEDY	7
1992_CRIME	3
1992_DOCUMENTARY	6
1992_DRAMA	7
1992_MUSIC	1
1992_MYSTERY	1
1992_ROMANCE	2
1992_SHORT	1
1992_THRILLER	2
1992_WAR	3
1992_WESTERN	1
1993_	1
1993_ACTION	1
1993_ADVENTURE	1
1993_ANIMATION	3
1993_BIOGRAPHY	3
1993_COMEDY	7
1993_CRIME	1
1993_DOCUMENTARY	5
1993_DRAMA	5
1993_FAMILY	1
1993_FANTASY	1
1993_HISTORY	3
1993_HORROR	1
1993_MUSIC	3
1993_MUSICAL	1
1993_MYSTERY	1
1993_ROMANCE	2
1993_SCI-FI	1
1993_SHORT	2
